Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-24APR26-1950-P,-,0.1,,-1.47653,-1.93451,2.9179,0.00077,-0.43161,193,75,67.66,188,190.08,192,69.03,75
ETH_USDC-24APR26-2000-C,-,53.3,,1.21087,-1.94658,2.95361,0.00079,0.52915,198,75,67.83,188,188.28,190,68.51,23.3
ETH_USDC-24APR26-2000-P,-,51.3,,-1.62372,-1.94658,2.95361,0.00079,-0.47085,220,75,66.76,213,216.47,218,68.46,75
ETH_USDC-24APR26-2050-C,-,-,,1.13252,-1.94322,2.96065,0.00079,0.49034,-,75,67.63,167,167.12,169,68.31,25.1
ETH_USDC-24APR26-2050-P,-,-,,-1.77293,-1.94322,2.96065,0.00079,-0.50966,-,75,66.23,241,245.13,247,68.26,75
ETH_USDC-24APR26-2100-C,-,15,,1.05365,-1.92359,2.94038,0.00079,0.45236,126,75,67.15,147,147.95,150,68.17,27.1
ETH_USDC-24APR26-2100-P,-,1,,-1.92266,-1.92359,2.94038,0.00079,-0.54764,270,75,66.08,272,275.77,277,67.78,75
ETH_USDC-24APR26-2150-C,-,2,,0.97575,-1.89192,2.89535,0.00078,0.41583,130,75,67.09,130,130.94,132,67.78,29
ETH_USDC-24APR26-2150-P,-,-,,-2.07143,-1.89192,2.89535,0.00078,-0.58417,-,34.2,65.66,304,308.58,310,67.73,75
ETH_USDC-24APR26-2200-C,75,76,,0.89994,-1.8485,2.82874,0.00076,0.38099,133,75,67.16,115,115.8,117,67.86,9.2
ETH_USDC-24APR26-2200-P,-,-,,-2.21811,-1.8485,2.82874,0.00076,-0.61901,-,50,-,0.2,343.26,-,-,-
ETH_USDC-24APR26-2250-C,-,-,,0.82671,-1.79286,2.74343,0.00074,0.34785,-,75,67.03,101,102.18,103,67.76,9.3
ETH_USDC-24APR26-2250-P,-,-,,-2.36221,-1.79286,2.74343,0.00074,-0.65215,-,50,-,0.2,379.45,-,-,-
ETH_USDC-24APR26-2300-C,-,0.1,,0.75666,-1.72757,2.64273,0.00071,0.31659,86,75,67.11,89,90.01,91,67.87,16.1
ETH_USDC-24APR26-2300-P,-,-,,-2.50312,-1.72757,2.64273,0.00071,-0.68341,-,-,-,-,417.1,-,-,-
ETH_USDC-24APR26-2350-C,-,-,,0.69056,-1.65617,2.53061,0.00068,0.28747,-,75,67.07,78,79.28,80,67.87,9.6
ETH_USDC-24APR26-2350-P,-,-,,-2.64008,-1.65617,2.53061,0.00068,-0.71253,-,-,-,-,456.18,-,-,-
ETH_USDC-24APR26-2400-C,1,1,,0.62931,-1.583,2.41185,0.00064,0.26083,83,75,67.37,69,70,71,68.2,15.6
ETH_USDC-24APR26-2400-P,-,-,,-2.7722,-1.583,2.41185,0.00064,-0.73917,-,-,-,-,496.72,-,-,-
ETH_USDC-24APR26-2500-C,1,3,,0.52004,-1.42972,2.1627,0.00057,0.21392,73,75,67.98,54,54.66,56,68.91,89.8
ETH_USDC-24APR26-2500-P,-,-,,-3.0232,-1.42972,2.1627,0.00057,-0.78608,-,-,-,-,581.01,-,-,-
ETH_USDC-24APR26-2600-C,-,1,,0.42849,-1.27801,1.91493,0.0005,0.1752,57,75,67.5,40.2,42.94,44,69.5,69.2
ETH_USDC-24APR26-2600-P,-,-,,-3.25647,-1.27801,1.91493,0.0005,-0.8248,-,-,-,-,668.93,-,-,-
ETH_USDC-24APR26-2700-C,-,-,,0.3525,-1.13249,1.67936,0.00044,0.1434,-,75,69.26,33.2,33.9,35,70.33,83.8
ETH_USDC-24APR26-2700-P,-,-,,-3.47419,-1.13249,1.67936,0.00044,-0.8566,-,-,-,-,759.52,-,-,-
ETH_USDC-24APR26-2800-C,-,-,,0.2909,-1.00102,1.46629,0.00038,0.11787,-,75,70.24,26.6,27.05,28.4,71.46,100
ETH_USDC-24APR26-2800-P,-,-,,-3.67753,-1.00102,1.46629,0.00038,-0.88213,-,-,-,-,852.3,-,-,-
ETH_USDC-24APR26-2900-C,-,201.1,,0.24093,-0.88326,1.27698,0.00032,0.0973,20.4,75,71.19,21.4,21.78,23.2,72.58,100
ETH_USDC-24APR26-2900-P,-,-,,-3.86923,-0.88326,1.27698,0.00032,-0.9027,-,-,-,-,946.66,-,-,-
ETH_USDC-24APR26-3000-C,0.1,0.1,,0.20102,-0.78168,1.11384,0.00028,0.08098,21.2,71,72.02,17.2,17.77,19,73.62,100
ETH_USDC-24APR26-3000-P,-,-,,-4.05086,-0.78168,1.11384,0.00028,-0.91902,-,-,-,-,1042.28,-,-,-
ETH_USDC-24APR26-3100-C,-,-,,0.16767,-0.68806,0.96791,0.00024,0.06739,-,75,73.16,14.2,14.51,15.6,74.59,92
ETH_USDC-24APR26-3100-P,-,-,,-4.22594,-0.68806,0.96791,0.00024,-0.93261,-,-,-,-,1138.65,-,-,-
ETH_USDC-24APR26-3200-C,-,-,,0.14358,-0.62089,0.85705,0.00021,0.05765,-,75,73.29,11,12.32,13.4,76.12,175
ETH_USDC-24APR26-3200-P,-,-,,-4.39176,-0.62089,0.85705,0.00021,-0.94235,-,-,-,-,1236.09,-,-,-
ETH_USDC-24APR26-3300-C,-,-,,0.12236,-0.55485,0.75425,0.00018,0.04907,-,100,73.25,8.4,10.38,11.6,77.62,100
ETH_USDC-24APR26-3300-P,-,-,,-4.55471,-0.55485,0.75425,0.00018,-0.95093,-,-,-,-,1333.78,-,-,-
ETH_USDC-24APR26-3400-C,-,-,,0.10528,-0.49919,0.6679,0.00016,0.04218,-,75,67.65,3.8,8.86,12.8,82.55,75
ETH_USDC-24APR26-3400-P,-,-,,-4.71352,-0.49919,0.6679,0.00016,-0.95782,-,-,-,-,1431.89,-,-,-
ETH_USDC-24APR26-3500-C,-,0.1,,0.09099,-0.44977,0.59276,0.00014,0.03643,8.2,75,67.02,2.6,7.6,11.4,84.1,75
ETH_USDC-24APR26-3500-P,-,-,,-4.86954,-0.44977,0.59276,0.00014,-0.96357,-,-,-,-,1530.27,-,-,-
ETH_USDC-24APR26-3600-C,-,-,,0.07963,-0.40951,0.53105,0.00012,0.03187,-,-,-,-,6.63,-,-,-
ETH_USDC-24APR26-3600-P,-,-,,-5.02263,-0.40951,0.53105,0.00012,-0.96813,-,-,-,-,1628.93,-,-,-
ETH_USDC-24APR26-3800-C,-,-,,0.06083,-0.33586,0.42395,0.00009,0.02432,-,0.1,57.45,0.2,5.01,-,-,-
ETH_USDC-24APR26-3800-P,-,-,,-5.32489,-0.33586,0.42395,0.00009,-0.97568,-,-,-,-,1826.57,-,-,-
ETH_USDC-24APR26-4000-C,-,-,,0.04677,-0.27496,0.33913,0.00007,0.01868,-,0.1,61.42,0.2,3.81,-,-,-
ETH_USDC-24APR26-4000-P,-,-,,-5.62241,-0.27496,0.33913,0.00007,-0.98132,-,-,-,-,2024.63,-,-,-
ETH_USDC-24APR26-4500-C,-,-,,0.02541,-0.1703,0.19998,0.00004,0.01012,-,0.1,70.41,0.2,2.03,-,-,-
ETH_USDC-24APR26-4500-P,-,-,,-6.35242,-0.1703,0.19998,0.00004,-0.98988,-,-,-,-,2521,-,-,-
ETH_USDC-24APR26-5000-C,-,-,,0.01454,-0.10817,0.12215,0.00002,0.00578,-,0.1,78.32,0.2,1.14,-,-,-
ETH_USDC-24APR26-5000-P,-,-,,-7.07193,-0.10817,0.12215,0.00002,-0.99422,-,-,-,-,3018.27,-,-,-
