Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-26JUN26-4800-C,-,25.4,,0.1832,-0.28664,0.84917,0.00009,0.03451,9,75,70.34,5.2,10.04,12.6,80.15,100
ETH_USDC-26JUN26-4800-P,-,-,,-14.90474,-0.28664,0.84917,0.00009,-0.96549,-,-,-,-,2803.29,-,-,-
ETH_USDC-26JUN26-5000-C,-,152,,0.15621,-0.25324,0.74316,0.00008,0.02936,11.8,-,-,-,8.44,-,-,-
ETH_USDC-26JUN26-5000-P,-,-,,-15.5604,-0.25324,0.74316,0.00008,-0.97064,-,-,-,-,2999.96,-,-,-
ETH_USDC-26JUN26-5200-C,-,0.1,,0.13637,-0.22879,0.66307,0.00007,0.02561,7.2,-,-,-,7.32,-,-,-
ETH_USDC-26JUN26-5200-P,-,-,,-16.2089,-0.22879,0.66307,0.00007,-0.97439,-,-,-,-,3197.12,-,-,-
ETH_USDC-26JUN26-5400-C,-,-,,0.11903,-0.20612,0.5909,0.00006,0.02233,-,-,-,-,6.34,-,-,-
ETH_USDC-26JUN26-5400-P,-,-,,-16.85491,-0.20612,0.5909,0.00006,-0.97767,-,-,-,-,3394.41,-,-,-
ETH_USDC-26JUN26-5500-C,-,1.1,,0.1116,-0.19621,0.55939,0.00006,0.02093,6.2,-,-,-,5.93,-,-,-
ETH_USDC-26JUN26-5500-P,-,-,,-17.17667,-0.19621,0.55939,0.00006,-0.97907,-,-,-,-,3493.13,-,-,-
ETH_USDC-26JUN26-5600-C,-,-,,0.10486,-0.18708,0.53043,0.00005,0.01965,-,-,-,-,5.56,-,-,-
ETH_USDC-26JUN26-5600-P,-,-,,-17.49775,-0.18708,0.53043,0.00005,-0.98035,-,-,-,-,3591.9,-,-,-
ETH_USDC-26JUN26-5800-C,-,-,,0.09185,-0.16844,0.47338,0.00005,0.0172,-,-,-,-,4.83,6.6,84.91,0.1
ETH_USDC-26JUN26-5800-P,-,-,,-18.13942,-0.16844,0.47338,0.00005,-0.9828,-,-,-,-,3789.44,-,-,-
ETH_USDC-26JUN26-6000-C,-,-,,0.08169,-0.15383,0.42792,0.00004,0.01528,-,-,-,-,4.28,-,-,-
ETH_USDC-26JUN26-6000-P,-,-,,-18.77825,-0.15383,0.42792,0.00004,-0.98472,-,-,-,-,3987.16,-,-,-
ETH_USDC-26JUN26-6200-C,-,-,,0.0721,-0.13913,0.38397,0.00004,0.01348,-,-,-,-,3.75,-,-,-
ETH_USDC-26JUN26-6200-P,-,-,,-19.4165,-0.13913,0.38397,0.00004,-0.98652,-,-,-,-,4184.9,-,-,-
ETH_USDC-26JUN26-6400-C,-,-,,0.0645,-0.12743,0.34853,0.00003,0.01205,-,-,-,-,3.34,4.4,86.56,0.1
ETH_USDC-26JUN26-6400-P,-,-,,-20.05276,-0.12743,0.34853,0.00003,-0.98795,-,-,-,-,4382.77,-,-,-
ETH_USDC-26JUN26-6500-C,-,-,,0.06081,-0.12148,0.33102,0.00003,0.01136,-,0.1,65.18,0.2,3.14,-,-,-
ETH_USDC-26JUN26-6500-P,-,-,,-20.37079,-0.12148,0.33102,0.00003,-0.98864,-,-,-,-,4481.7,-,-,-
ETH_USDC-26JUN26-6600-C,-,-,,0.05715,-0.11541,0.31351,0.00003,0.01067,-,0.1,65.92,0.2,2.94,-,-,-
ETH_USDC-26JUN26-6600-P,-,-,,-20.68877,-0.11541,0.31351,0.00003,-0.98933,-,-,-,-,4580.64,-,-,-
ETH_USDC-26JUN26-6800-C,-,-,,0.05146,-0.10614,0.28595,0.00003,0.0096,-,0.1,71.15,0.4,2.64,5,91.6,0.1
ETH_USDC-26JUN26-6800-P,-,-,,-21.32313,-0.10614,0.28595,0.00003,-0.9904,-,-,-,-,4778.61,-,-,-
ETH_USDC-26JUN26-7000-C,-,-,,0.04577,-0.09629,0.25788,0.00002,0.00853,-,0.1,72.6,0.4,2.33,-,-,-
ETH_USDC-26JUN26-7000-P,-,-,,-21.95748,-0.09629,0.25788,0.00002,-0.99147,-,-,-,-,4976.57,-,-,-
ETH_USDC-26JUN26-7200-C,-,-,,0.04143,-0.08885,0.23615,0.00002,0.00772,-,0.1,70.1,0.2,2.1,-,-,-
ETH_USDC-26JUN26-7200-P,-,-,,-22.59049,-0.08885,0.23615,0.00002,-0.99228,-,-,-,-,5174.62,-,-,-
ETH_USDC-26JUN26-7400-C,-,-,,0.0366,-0.07987,0.21148,0.00002,0.00681,-,0.1,71.41,0.2,1.84,-,-,-
ETH_USDC-26JUN26-7400-P,-,-,,-23.22398,-0.07987,0.21148,0.00002,-0.99319,-,-,-,-,5372.63,-,-,-
ETH_USDC-26JUN26-7500-C,-,-,,0.03497,-0.07701,0.20312,0.00002,0.00651,-,0.1,72.05,0.2,1.76,-,-,-
ETH_USDC-26JUN26-7500-P,-,-,,-23.53994,-0.07701,0.20312,0.00002,-0.99349,-,-,-,-,5471.68,-,-,-
ETH_USDC-26JUN26-8000-C,-,-,,0.02841,-0.06527,0.16888,0.00002,0.00528,-,0.1,75.11,0.2,1.43,-,-,-
ETH_USDC-26JUN26-8000-P,-,-,,-25.11817,-0.06527,0.16888,0.00002,-0.99472,-,-,-,-,5967.03,-,-,-
ETH_USDC-26JUN26-8500-C,-,-,,0.02052,-0.04878,0.12586,0.00001,0.0038,-,0.1,77.97,0.2,1,-,-,-
ETH_USDC-26JUN26-8500-P,-,-,,-26.69772,-0.04878,0.12586,0.00001,-0.9962,-,-,-,-,6462.28,-,-,-
ETH_USDC-26JUN26-9000-C,-,-,,0.0161,-0.0396,0.1011,0.00001,0.00298,-,0.1,80.65,0.2,0.78,-,-,-
ETH_USDC-26JUN26-9000-P,-,-,,-28.27379,-0.0396,0.1011,0.00001,-0.99702,-,-,-,-,6957.74,-,-,-
ETH_USDC-26JUN26-10000-C,-,-,,0.01009,-0.0263,0.06602,0.00001,0.00186,-,0.1,85.54,0.2,0.48,-,-,-
ETH_USDC-26JUN26-10000-P,-,-,,-31.42313,-0.0263,0.06602,0.00001,-0.99814,-,-,-,-,7948.8,-,-,-
ETH_USDC-26JUN26-11000-C,-,-,,0.00582,-0.01592,0.03978,-,0.00107,-,0.1,89.93,0.2,0.26,-,-,-
ETH_USDC-26JUN26-11000-P,-,-,,-34.57072,-0.01592,0.03978,-,-0.99893,-,-,-,-,8939.94,-,-,-
ETH_USDC-26JUN26-12000-C,-,-,,0.00564,-0.01625,0.03886,-,0.00104,-,0.1,93.9,0.2,0.27,-,-,-
ETH_USDC-26JUN26-12000-P,-,-,,-37.71422,-0.01625,0.03886,-,-0.99896,-,-,-,-,9931.3,-,-,-
ETH_USDC-26JUN26-13000-C,-,-,,0.00369,-0.01101,0.02618,-,0.00068,-,0.1,97.52,0.2,0.17,-,-,-
ETH_USDC-26JUN26-13000-P,-,-,,-40.8595,-0.01101,0.02618,-,-0.99932,-,-,-,-,10922.57,-,-,-
ETH_USDC-26JUN26-14000-C,-,-,,0.00374,-0.01163,0.02664,-,0.00069,-,0.1,100.86,0.2,0.18,-,-,-
ETH_USDC-26JUN26-14000-P,-,-,,-44.00277,-0.01163,0.02664,-,-0.99931,-,-,-,-,11913.93,-,-,-
ETH_USDC-26JUN26-15000-C,-,-,,0.00341,-0.011,0.02456,-,0.00063,-,0.1,103.94,0.2,0.17,100,210.62,5
ETH_USDC-26JUN26-15000-P,-,-,,-47.14642,-0.011,0.02456,-,-0.99937,-,-,-,-,12905.28,-,-,-
