Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-27MAR26-2500-C,0.1,536.6,,0.13563,-1.50148,0.97827,0.00053,0.11574,24.2,75.1,72.31,18.6,19.1,19.6,73.33,150
ETH_USDC-27MAR26-2500-P,-,397.1,,-1.4898,-1.50148,0.97827,0.00053,-0.88426,458.8,0.1,-,40,550.81,-,-,-
ETH_USDC-27MAR26-2600-C,-,467.2,,0.10006,-1.22709,0.78138,0.00042,0.0851,12.8,145.2,74.09,13,13.53,14,75.11,75
ETH_USDC-27MAR26-2600-P,-,119,,-1.59039,-1.22709,0.78138,0.00042,-0.9149,603,-,-,-,645.1,1125,343.22,1
ETH_USDC-27MAR26-2700-C,1.1,128,,0.0754,-1.01473,0.62852,0.00033,0.064,9.4,82,75.73,9.4,9.94,10.2,77.01,75
ETH_USDC-27MAR26-2700-P,0.2,45.2,,-1.68006,-1.01473,0.62852,0.00033,-0.936,707,-,-,-,741.38,-,-,-
ETH_USDC-27MAR26-2800-C,10.3,368.2,,0.05663,-0.82702,0.50061,0.00025,0.04797,10,100,77.41,6.8,7.28,7.8,79.41,200
ETH_USDC-27MAR26-2800-P,-,43,,-1.76385,-0.82702,0.50061,0.00025,-0.95203,855,-,-,-,838.57,-,-,-
ETH_USDC-27MAR26-2900-C,-,153.9,,0.04282,-0.67312,0.39868,0.0002,0.03622,3.6,200,78.59,4.8,5.39,6,81.61,275
ETH_USDC-27MAR26-2900-P,-,76.6,,-1.84267,-0.67312,0.39868,0.0002,-0.96378,800,-,-,-,936.54,-,-,-
ETH_USDC-27MAR26-3000-C,3,288.2,,0.03354,-0.56466,0.3257,0.00016,0.02835,6.6,200,80.39,3.6,4.18,4.6,83.51,200
ETH_USDC-27MAR26-3000-P,-,66.4,,-1.91697,-0.56466,0.3257,0.00016,-0.97165,985,-,-,-,1035.2,-,-,-
ETH_USDC-27MAR26-3100-C,-,117.7,,0.02646,-0.47392,0.26683,0.00013,0.02235,6,200,81.56,2.6,3.27,3.8,86.16,200
ETH_USDC-27MAR26-3100-P,-,177.8,,-1.98907,-0.47392,0.26683,0.00013,-0.97765,1009,-,-,-,1134.15,-,-,-
ETH_USDC-27MAR26-3200-C,0.5,1171.6,,0.02099,-0.39802,0.21918,0.0001,0.01772,3.8,200,83.29,2,2.58,3,88,200
ETH_USDC-27MAR26-3200-P,-,247.4,,-2.05955,-0.39802,0.21918,0.0001,-0.98228,442,-,-,-,1233.32,-,-,-
ETH_USDC-27MAR26-3300-C,1,125.4,,0.01676,-0.33485,0.18065,0.00008,0.01415,3.2,200,85.27,1.6,2.05,2.4,89.81,200
ETH_USDC-27MAR26-3300-P,-,104.3,,-2.1288,-0.33485,0.18065,0.00008,-0.98585,1220,-,-,-,1332.65,-,-,-
ETH_USDC-27MAR26-3400-C,2,406.9,,0.01347,-0.28232,0.14944,0.00007,0.01136,3,200,86.42,1.2,1.64,2,91.93,200
ETH_USDC-27MAR26-3400-P,-,66.2,,-2.19711,-0.28232,0.14944,0.00007,-0.98864,1034.8,-,-,-,1432.1,-,-,-
ETH_USDC-27MAR26-3500-C,-,332.1,,0.01124,-0.24674,0.12769,0.00006,0.00949,0.4,200,88.48,1,1.37,1.6,93.41,100
ETH_USDC-27MAR26-3500-P,-,266.4,,-2.26436,-0.24674,0.12769,0.00006,-0.99051,550,-,-,-,1531.69,-,-,-
ETH_USDC-27MAR26-3600-C,-,187.6,,0.00943,-0.21584,0.10941,0.00005,0.00795,0.8,200,89.99,0.8,1.15,1.2,94.07,100
ETH_USDC-27MAR26-3600-P,-,341.9,,-2.33119,-0.21584,0.10941,0.00005,-0.99205,1400,-,-,-,1631.34,-,-,-
ETH_USDC-27MAR26-3700-C,-,29.3,,0.00762,-0.18142,0.09069,0.00004,0.00643,2,200,90.78,0.6,0.92,1.2,97.7,200
ETH_USDC-27MAR26-3700-P,-,30,,-2.39801,-0.18142,0.09069,0.00004,-0.99357,558,-,-,-,1730.97,-,-,-
ETH_USDC-27MAR26-3800-C,-,93.3,,0.00627,-0.15474,0.07623,0.00003,0.00529,6,200,94.11,0.6,0.76,1,99.21,100
ETH_USDC-27MAR26-3800-P,-,47.6,,-2.46438,-0.15474,0.07623,0.00003,-0.99471,958,-,-,-,1830.66,-,-,-
ETH_USDC-27MAR26-3900-C,-,132.3,,0.00472,-0.12026,0.05908,0.00002,0.00397,36.4,200,93.62,0.4,0.56,1,102.57,200
ETH_USDC-27MAR26-3900-P,-,-,,-2.53095,-0.12026,0.05908,0.00002,-0.99603,-,-,-,-,1930.32,-,-,-
ETH_USDC-27MAR26-4000-C,-,305,,0.00375,-0.09863,0.04804,0.00002,0.00316,0.6,200,96.65,0.4,0.44,0.8,103.38,200
ETH_USDC-27MAR26-4000-P,-,107.7,,-2.59693,-0.09863,0.04804,0.00002,-0.99684,946,-,-,-,2030.07,-,-,-
ETH_USDC-27MAR26-4100-C,-,5.6,,0.00306,-0.083,0.03999,0.00002,0.00258,1.2,200.2,93.75,0.2,0.35,0.8,106.48,200
ETH_USDC-27MAR26-4100-P,-,-,,-2.66264,-0.083,0.03999,0.00002,-0.99742,-,-,-,-,2129.85,-,-,-
ETH_USDC-27MAR26-4200-C,-,204.6,,0.0029,-0.08122,0.03815,0.00002,0.00244,1.2,200,96.48,0.2,0.34,0.6,106.42,0.1
ETH_USDC-27MAR26-4200-P,-,127.6,,-2.72782,-0.08122,0.03815,0.00002,-0.99756,1056,-,-,-,2229.7,-,-,-
ETH_USDC-27MAR26-4400-C,-,24.2,,0.00238,-0.07037,0.03187,0.00001,0.002,0.2,200,101.71,0.2,0.29,0.6,112.06,200.1
ETH_USDC-27MAR26-4400-P,-,-,,-2.85838,-0.07037,0.03187,0.00001,-0.998,-,-,-,-,2429.36,-,-,-
ETH_USDC-27MAR26-4500-C,-,41.8,,0.00231,-0.07031,0.03109,0.00001,0.00195,0.4,-,-,-,0.28,0.2,104.22,0.1
ETH_USDC-27MAR26-4500-P,-,8.8,,-2.92346,-0.07031,0.03109,0.00001,-0.99805,1198,-,-,-,2529.22,-,-,-
ETH_USDC-27MAR26-4600-C,-,1.6,,0.00163,-0.05064,0.02259,0.00001,0.00137,1,-,-,-,0.19,0.4,113.13,200.1
ETH_USDC-27MAR26-4600-P,-,-,,-2.98916,-0.05064,0.02259,0.00001,-0.99863,-,-,-,-,2628.99,-,-,-
ETH_USDC-27MAR26-4800-C,-,3.2,,0.00116,-0.03764,0.01652,0.00001,0.00098,1,-,-,-,0.14,0.4,118.08,200
ETH_USDC-27MAR26-4800-P,-,-,,-3.11966,-0.03764,0.01652,0.00001,-0.99902,-,-,-,-,2828.66,-,-,-
ETH_USDC-27MAR26-5000-C,-,79.4,,0.00092,-0.03116,0.01337,-,0.00078,0.2,-,-,-,0.11,0.4,122.79,200
ETH_USDC-27MAR26-5000-P,-,-,,-3.24994,-0.03116,0.01337,-,-0.99922,-,-,-,-,3028.35,-,-,-
ETH_USDC-27MAR26-5200-C,-,250.5,,0.00065,-0.0229,0.00972,-,0.00055,0.8,-,-,-,0.08,0.4,127.29,200
ETH_USDC-27MAR26-5200-P,-,250,,-3.38024,-0.0229,0.00972,-,-0.99945,2187.2,-,-,-,3228.04,-,-,-
ETH_USDC-27MAR26-5400-C,-,501.5,,0.00041,-0.01481,0.00628,-,0.00034,5.4,-,-,-,0.05,0.2,124.31,200
ETH_USDC-27MAR26-5400-P,-,500,,-3.51052,-0.01481,0.00628,-,-0.99966,2357.6,-,-,-,3427.73,-,-,-
ETH_USDC-27MAR26-5500-C,-,12750,,0.00032,-0.01188,0.00504,-,0.00027,2.2,-,-,-,0.04,0.2,126.31,200
ETH_USDC-27MAR26-5500-P,-,12750,,-3.57562,-0.01188,0.00504,-,-0.99973,2421,-,-,-,3527.58,-,-,-
ETH_USDC-27MAR26-5600-C,-,5250,,0.00025,-0.00953,0.00404,-,0.00021,24.4,-,-,-,0.03,0.2,128.26,200
ETH_USDC-27MAR26-5600-P,-,5250,,-3.6407,-0.00953,0.00404,-,-0.99979,2546.4,-,-,-,3627.44,-,-,-
ETH_USDC-27MAR26-5800-C,-,504.3,,0.00018,-0.00679,0.00286,-,0.00015,1.6,-,-,-,0.02,0.2,132.05,200
ETH_USDC-27MAR26-5800-P,-,500,,-3.77082,-0.00679,0.00286,-,-0.99985,2775.4,-,-,-,3827.15,-,-,-
ETH_USDC-27MAR26-6000-C,-,5761.2,,0.00014,-0.00572,0.00237,-,0.00012,13.8,-,-,-,0.02,0.2,135.7,200
ETH_USDC-27MAR26-6000-P,-,5750,,-3.90088,-0.00572,0.00237,-,-0.99988,2941.2,-,-,-,4026.87,-,-,-
ETH_USDC-27MAR26-6200-C,-,4001,,0.0001,-0.00422,0.00174,-,0.00009,10.6,-,-,-,0.01,0.2,139.21,200
ETH_USDC-27MAR26-6200-P,-,4000,,-4.03096,-0.00422,0.00174,-,-0.99991,3148,-,-,-,4226.59,-,-,-
ETH_USDC-27MAR26-6400-C,-,6.6,,0.00007,-0.0028,0.00115,-,0.00006,0.8,-,-,-,0.01,0.2,142.6,200
ETH_USDC-27MAR26-6400-P,-,-,,-4.16103,-0.0028,0.00115,-,-0.99994,-,-,-,-,4426.31,-,-,-
ETH_USDC-27MAR26-6500-C,-,-,,0.00005,-0.00228,0.00094,-,0.00005,-,-,-,-,0.01,0.2,144.25,200
ETH_USDC-27MAR26-6500-P,-,-,,-4.22606,-0.00228,0.00094,-,-0.99995,-,-,-,-,4526.17,-,-,-
ETH_USDC-27MAR26-6600-C,-,0.1,,0.00004,-0.00186,0.00076,-,0.00004,41.4,-,-,-,-,0.2,145.87,200
ETH_USDC-27MAR26-6600-P,-,-,,-4.29109,-0.00186,0.00076,-,-0.99996,-,-,-,-,4626.03,-,-,-
ETH_USDC-27MAR26-6800-C,-,-,,0.00003,-0.00123,0.00051,-,0.00002,-,-,-,-,-,0.2,149.04,200
ETH_USDC-27MAR26-6800-P,-,-,,-4.42114,-0.00123,0.00051,-,-0.99998,-,-,-,-,4825.75,-,-,-
ETH_USDC-27MAR26-7000-C,-,29.5,,0.00002,-0.00082,0.00034,-,0.00002,0.2,-,-,-,-,0.2,152.1,200
ETH_USDC-27MAR26-7000-P,-,-,,-4.55118,-0.00082,0.00034,-,-0.99998,-,-,-,-,5025.47,-,-,-
ETH_USDC-27MAR26-7500-C,-,5.3,,0.00001,-0.0003,0.00012,-,0.00001,3.8,-,-,-,-,0.2,159.34,203
ETH_USDC-27MAR26-7500-P,-,-,,-4.87628,-0.0003,0.00012,-,-0.99999,-,-,-,-,5524.77,-,-,-
ETH_USDC-27MAR26-8000-C,-,0.1,,-,-0.00011,0.00005,-,-,31.6,-,-,-,-,0.2,166.07,200
ETH_USDC-27MAR26-8000-P,-,-,,-5.20137,-0.00011,0.00005,-,-1,-,-,-,-,6024.08,-,-,-
ETH_USDC-27MAR26-8500-C,-,-,,-,-0.00007,0.00003,-,-,-,-,-,-,-,0.2,172.35,200
ETH_USDC-27MAR26-8500-P,-,-,,-5.52645,-0.00007,0.00003,-,-1,-,-,-,-,6523.39,-,-,-
ETH_USDC-27MAR26-9000-C,-,-,,-,-0.00007,0.00003,-,-,-,-,-,-,-,0.2,178.24,200
ETH_USDC-27MAR26-9000-P,-,-,,-5.85154,-0.00007,0.00003,-,-1,-,-,-,-,7022.69,-,-,-
ETH_USDC-27MAR26-10000-C,-,1,,-,-0.00005,0.00002,-,-,0.2,-,-,-,-,0.2,189,200
ETH_USDC-27MAR26-10000-P,-,-,,-6.50171,-0.00005,0.00002,-,-1,-,-,-,-,8021.3,-,-,-
ETH_USDC-27MAR26-11000-C,-,-,,-,-0.00002,0.00001,-,-,-,-,-,-,-,0.2,198.64,200
ETH_USDC-27MAR26-11000-P,-,-,,-7.15188,-0.00002,0.00001,-,-1,-,-,-,-,9019.92,-,-,-
ETH_USDC-27MAR26-12000-C,-,-,,-,-0.00001,-,-,-,-,-,-,-,-,0.2,207.37,200
ETH_USDC-27MAR26-12000-P,-,-,,-7.80205,-0.00001,-,-,-1,-,-,-,-,10018.53,-,-,-
ETH_USDC-27MAR26-13000-C,-,-,,-,-,-,-,-,-,-,-,-,-,0.2,215.34,200
ETH_USDC-27MAR26-13000-P,-,-,,-8.45223,-,-,-,-1,-,-,-,-,11017.14,-,-,-
ETH_USDC-27MAR26-14000-C,-,1,,-,-,-,-,-,0.6,-,-,-,-,0.2,222.67,200.1
ETH_USDC-27MAR26-14000-P,-,-,,-9.1024,-,-,-,-1,-,-,-,-,12015.75,-,-,-
